"title","director","release_year","runtime","subtitle","description","genres","female_protagonist","lgbtq_protagonist","white_protagonist","political/social_or_moral_topic","experimental","cast","watched","avg_rating","X0.5","X1","X1.5","X2","X2.5","X3","X3.5","X4","X4.5","X5","fans","liked","total_ratings","polarization"
"Desperate Hours","Michael Cimino",1990,105,"Desire is the deadliest weapon of all.","An escaped con, on the run from the law, moves into a married couple’s house and takes over their lives.","Thriller---Crime","No","No","Yes","No","No","Mickey Rourke---Anthony Hopkins---Mimi Rogers---Lindsay Crouse---Kelly Lynch---Elias Koteas---David Morse---Shawnee Smith---Danny Gerard---Gerry Bamman---Matt McGrath---John Christopher Jones---Dean Norris---John Finn---Christopher Curry---James Rebhorn---Ellen Parker---Elizabeth Ruscio---Ellen McElduff---Bob Evans",7824,2.9,51,201,311,941,1027,1546,700,456,55,60,NA,841,5348,1.88799769826766
"Blood Conscious","Timothy Covell",2021,80,"Everyone has their demons.","A vacationing family turns the tables on a mass shooter who claims to be fighting demonic forces.","Thriller---Drama---Horror","Yes","Unknown","No","Racial tension and mass-shooting anxiety","No","Nick Damici---Lenny Thomas---DeShawn White---Lori Hammel---Jacklyn Collier---Oghenero Gbaje---Jean-Remy Monnay---Annette Adams-Brown",849,2.9,22,43,52,134,133,179,59,39,3,10,NA,98,674,1.94313583792597
"İffet","Kartal Tibet",1982,96,"","Iffet lives in a low income neighbourhood of Istanbul with her sister and father under the strict rules of her father. She can not even go visit her aunt since she is not allowed to leave home without permission. She nevethless falls in love with Cemil…","","Yes","No","Unknown","Honor and social morality","No","Müjde Ar---Faruk Peker---Savaş Başar---Ergün Uçucu---Suna Selen---Ayten Erman---Damla Coşkunoğlu---Buket Sayhan---Hikmet Gül---Muhteşem Durukan---Ahmet Evintan---Nermin Özses---Mürüvvet İşsever---Ayşin Atav",1091,3.1,35,18,32,66,56,116,36,20,3,9,NA,35,391,1.9975746243725
"Almost Summer","Martin Davidson",1978,88,"Aren’t you glad it’s Almost Summer?","A high-school election gets nasty.","","No","Unknown","Yes","High school student council election","No","Bruno Kirby---Lee Purcell---John Friedrich---Didi Conn---Thomas Carter---Tim Matheson---Petronia Paley---David Wilson---Sherry Hursey---William Bogert---Gene LeBell---Donna Wilkes---Karen Lamm",391,3.1,1,13,22,33,51,77,32,19,2,6,NA,69,256,1.90958021568584
"Nahuel and the Magic Book","Germán Acuña",2020,98,"","Nahuel lives with his father in a fishing town, yet he has a deep fear of the sea. One day, he finds a magical book that seems to be the solution to this problem, but a dark sorcerer is after it and captures Nahuel’s father. This is where his journey to rescue his father and overcome his fears begins.","Fantasy---Animation","No","Unknown","Unknown","Overcoming fear","No","Consuelo Pizarro---Vanesa Silva---Jorge Lillo---Sebastian Dupont---Marcelo Liapiz---Sergio Schmied---Sandro Larenas",1321,3.3,6,4,21,66,123,314,251,163,35,53,7,346,1036,1.82151178986986
"Johns","Scott Silver",1996,96,"This ain’t no 90210","It’s the day before Christmas, the day before John’s 21st birthday. He’s a prostitute on Santa Monica Blvd in L.A., and he wants to spend that night and the next day at the posh Park Plaza Hotel. Meanwhile, Donner, a lad new to the streets, wants John to leave the city with him. John spends the day trying to figure out how to deal with Donner’s friendship.","Drama---Romance","No","Yes","Yes","Male Prostitution and LGBTQ+ Issues","No","David Arquette---Lukas Haas---John C. McGinley---Keith David---Wilson Cruz---Tony Epper---Richard T. Jones---Alanna Ubach---N'Bushe Wright---Elliott Gould---Terrence Howard---Arliss Howard---Nicky Katt---Nina Siemaszko",736,3.3,5,8,15,37,70,138,102,54,9,23,3,138,461,1.8919514772548
"The Insider","Michael Mann",1999,158,"Two men driven to tell the truth … whatever the cost.","A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.","Drama---Thriller","No","No","Yes","Corporate corruption and tobacco industry whistleblowing","No","Al Pacino---Russell Crowe---Christopher Plummer---Diane Venora---Philip Baker Hall---Lindsay Crouse---Debi Mazar---Stephen Tobolowsky---Colm Feore---Bruce McGill---Gina Gershon---Michael Gambon---Rip Torn---Lynne Thigpen---Hallie Eisenberg---Michael Paul Chan---Linda Hart---Robert Harper---Nestor Serrano---Pete Hamill---Wings Hauser---Cliff Curtis---Renee Olstead---Michael Moore---Gary Sandy---Willie C. Carpenter---Paul Butler---Jack Palladino---Megan Odebash---Roger Bart---Alan Desatti---Sayed Badreya---Chris Ufland---Douglas McGrath---Bill Sage---Joseph Hindy---Dennis Garber---Tim Grimm---Paul Perri---Wanda De Jesus---Robert Patrick Brink---Vincent Foster---James Harper---Eyal Podell---Breckin Meyer---David Roberson---Gregg E. Muravchick---William P. Bradford---David Clyde Carr---Ann Reskin---Claire Slemmer---Steve Salge---Derrick Jones---Donald F. Burbrink---Vyto Ruginis---George R. Parsons---Isodine Loury---Charlene Bosarge---Saemi Nakamura---Ronal G. Yokley---Bob Lazarus---Robert J. Ragno Jr.---Alvin L. Welch---Nathan Lewis Hill---Paula Bisbikos---Christi Evans---Knox White---Amy L. Caudill---Cara Briese---Phil Hawn---Spencer Kayden---Zane Lamprey---Don Langley---Clyde Lee---Robert D. Parham---Roger Phenix---Scott Ritcher---Brian Canberg---J.B. Flinn---Tom Jones---Ted Speaker---Robbie G. Tomlin---Susan Wagner",157273,4.1,93,246,253,1375,2280,10404,18111,38431,21724,15844,719,42395,108761,1.66316814420444
"Ukraine Is Not a Brothel","Kitty Green",2013,78,"","Ukraine’s topless feminist sensation Femen has created a media frenzy across Europe, but before they take the world by storm, these bold and beautiful women must confront the dark and perverse forces that power their organisation.","","Yes","Unknown","Yes","Feminism and women's rights in Ukraine","No","Inna Shevchenko---Sasha Shevchenko---Anna Hutsol---Oksana Shachko---Andriy Haddad",760,3.4,2,5,5,22,41,135,133,90,22,16,NA,135,471,1.76480328468235
"Posse","Kirk Douglas",1975,92,"“Posse” begins like most Westerns. It ends like none of them. It will knock you off your horse.","A tough marshal with political ambitions leads an elite posse to capture a notorious train robber and his gang.","","No","No","Yes","Political Ambition and Corruption","No","Kirk Douglas---Bruce Dern---Bo Hopkins---James Stacy---Luke Askew---David Canary---Alfonso Arau---Katherine Woodville---Mark Roberts---Beth Brickell---Dick O'Neill---William H. Burton Jr.---Louie Elias---Gus Greymountain---Allan Warnick---Roger Behrstock---Jess Riggle---Stephanie Steele---Melody Thomas Scott---Dick Armstrong---Larry Finley---Pat Tobin",1631,3.4,1,11,12,63,117,357,360,180,30,28,1,304,1159,1.6870586826455
"America","Garrett Bradley",2019,30,"","A cinematic omnibus rooted in New Orleans, challenging the idea of black cinema as a “wave” or “movement in time,” proposing instead a continuous thread of achievement.","","Unknown","Unknown","No","Race and Black cinema history","Yes","Donna Crump---Edward Spots",1642,3.7,3,5,3,21,26,86,111,234,109,134,5,568,732,1.79615120023385
"The Thaw","Mark A. Lewis",2009,94,"Extinction will find you.","At a remote Arctic research station, four ecology students discover the real horror of global warming is not the melting ice, but what’s frozen within it. A prehistoric parasite is released from the carcass of a Woolly Mammoth upon the unsuspecting students who are forced to quarantine and make necessary sacrifices, or risk infecting the rest of the world.","Horror---Science Fiction","Yes","Unknown","Yes","Environmental issues","No","Val Kilmer---Martha MacIsaac---Aaron Ashmore---Kyle Schmid---Viv Leacock---Steph Song---Anne Marie DeLuise---John Callander---Lamech Kadloo---Evan Adams---Sebastian Stewart---William B. Davis---Alejandro Rae---Alexandra Staseson---Brad Dryborough---Greg Rogers",5381,2.5,115,286,395,886,782,896,269,135,19,49,3,504,3832,1.92224601263618
"Munna Michael","Sabbir Khan",2017,139,"","An expert dancer Munna who idolizes the king of pop, reluctantly tutors a gangster until their developing bond gets disrupted by their common romantic interest towards the same woman.","Action---Music","No","No","No","No","No","Tiger Shroff---Nawazuddin Siddiqui---Ronit Roy---Nidhhi Agerwal---Sudesh Lehri---Sameer Kochhar---Pankaj Tripathi---Farah Khan---Chitrangada Singh---Pallavi Kulkarni---Roger Danuarta",2785,2.3,357,298,160,260,132,115,40,29,4,16,NA,107,1411,1.90889238533754
"Sorokin Trip","Ilya Belov",2019,90,"","Documentary about Vladimir Sorokin, one of the most prominent Russian writers.","","No","Unknown","Yes","No","No","Vladimir Sorokin",545,3.5,4,0,1,13,25,61,82,89,18,25,NA,64,318,1.78889753726627
"Bridge to the Sun","Étienne Périer",1961,113,"Their love was a bridge between two worlds!","Tells the true story of American Gwen Terasaki, who falls in love with, then marries a Japanese diplomat. When World War II breaks out, they encounter animosity and trouble from both sides.","Romance---Drama---War","Yes","No","Yes","World War II and cross-cultural marriage","No","Carroll Baker---James Shigeta---James Yagi---Tetsuro Tamba---Hiroshi Tomono---Yoshiko Hiromura---Sean Garrison---Ruth Masters---Nori Elisabeth Hermann---Emi Florence Hirsch---Lee Payant---Yoko Takahashi",345,3.4,1,2,1,12,18,51,68,40,9,9,1,80,211,1.76045188902947
"Snow White and the Huntsman","Rupert Sanders",2012,127,"The fairytale is over","After the Evil Queen marries the King, she performs a violent coup in which the King is murdered and his daughter, Snow White, is taken captive. Almost a decade later, a grown Snow White is still in the clutches of the Queen. In order to obtain immortality, The Evil Queen needs the heart of Snow White. After Snow escapes the castle, the Queen sends the Huntsman to find her in the Dark Forest.","Drama---Adventure---Fantasy","Yes","Unknown","Yes","No","No","Kristen Stewart---Chris Hemsworth---Charlize Theron---Sam Claflin---Ian McShane---Ray Winstone---Nick Frost---Noah Huntley---Toby Jones---Eddie Marsan---Lily Cole---Rachael Stirling---Hattie Gotobed---Bob Hoskins---Sam Spruell---Johnny Harris---Brian Gleeson---Vincent Regan---Liberty Ross---Chris Obi---Raffey Cassidy---Xavier Atkins---Izzy Meikle-Small---Anastasia Hille---Elliot Reeve---Mark Wingett---Jamie Blackley---Dave Legeno---Greg Hicks---Peter Ferdinando---Andrew Hawley---Joey Ansah---Gregor Truter---Tom Mullion---Matt Berry---Darren Kent---Craig Garner---Duncan Casey---Ryan Stuart---Neve Gachev",404578,2.6,3369,10905,12151,38174,32378,48680,18852,16204,2137,6168,100,29918,189018,1.99032625295433
"Invisible Agent","Edwin L. Marin",1942,81,"Today’s most amazing sensation!","The Invisible Man’s grandson uses his secret formula to spy on Nazi Germany in this comedy-thriller.","Science Fiction---War---Horror","No","Unknown","Yes","World War II espionage and sabotage","No","Ilona Massey---Jon Hall---Peter Lorre---Cedric Hardwicke---J. Edward Bromberg---Albert Bassermann---John Litel---Holmes Herbert---Keye Luke---Sven Hugo Borg---John Burton---Lane Chandler---Mabel Colcord---James Craven---Donald Curtis---Leslie Denison---Eddie Dunn---Lee Tung Foo---Henry Guttman---Bobby Hale---John Holland---Patrick McVey---John Merton---Alberto Morin---Ferdinand Munier---William Pagan---Eddie Parker---Charles Regan---Otto Reichow---William Ruhl---Ferdinand Schumann-Heink---Hans Schumm---Wallace Scott---Lee Shumway---Milburn Stone---Walter Tetley---Philip Van Zandt---Michael Visaroff---Phil Warren---Pat West---Matt Willis---Duke York---Wolfgang Zilzer---Victor Zimmerman---Henry Zynda---Charles Flynn",4680,2.8,17,71,126,465,808,1221,495,197,26,33,1,743,3459,1.72614187869232
"Beware of the Car!","Eldar Ryazanov",1966,94,"","An insurance agent who moonlights as a car thief steals cars various crooks and never from the common people. He sells the stolen cars and gives the money to charity. His best friend, a cop, is assigned to bring in this modern robin hood.","Comedy---Crime","No","Unknown","Yes","Morality and social justice","No","Innokentiy Smoktunovskiy---Oleg Efremov---Georgi Zhzhyonov---Olga Aroseva---Lyubov Dobrzhanskaya---Andrey Mironov---Anatoliy Papanov---Evgeniy Evstigneev---Lyubov Sokolova---Vyacheslav Nevinnyy---Gotlib Roninson---Donatas Banionis---Galina Volchek---Tatyana Gavrilova---Sergey Kulagin---Yakov Lents---Boris Runge---Nikolai Parfyonov---Yuriy Yakovlev---Viktoriya Radunskaya---Antonina Maksimova---Uliana Bugaeva---Inga Budkevich---Sergey Zhirnov---Zoya Isayeva---Yuriy Kireev---Aleksei Korenev---Nina Krachkovskaya---Vladimir Lippart---Emiliya Milton---Vladimir Nakhabtsev---Natalya Dorodnaya---Nonna Ten---Aleksandr Petrov---Aleksandr Titov---Georgi Shapovalov---Ye. Kiryakova",6078,3.9,8,14,12,41,98,391,713,1258,541,621,40,1463,3697,1.70186551806296
"Momshies! Your Soul is Mine","Easy Ferrer",2021,108,"What if you were in someone else’s body? Imagine the fame, the sex and pleasure…","Three women with totally different lives accidentally get their souls switched as they struggle with the comedic misadventures of their new worlds, they realize that their own lives and families are worth loving and living for. Jolene, a famous person who always has fans in public, Mylene - an overprotected lady who always gets pleasure and love and Karlene - a rich famous social media influencer all switch bodies but their lives did not just change, but their souls switched that leaves them with no choice but to stick together to live the peculiar lives of each other. Karlene then has to convince a group of investors to invest in her near-bankrupt hotel, but no one believes her because she is trapped in Mylene’s body. In the process of all of their imaginative scenarios, they drew closer to each other into becoming the soul sisters they are destined to be. ×","","Yes","Unknown","No","No","No","Jolina Magdangal---Melai Cantiveros---Karla Estrada---Jason Francisco---Thou Reyes---Manuel Chua---Jhai'ho---Mitoy Yonting---Miko Gallardo---Juliana Parizcova Segovia---Pia Moran---Eris Aragoza---Francis Mata---Johannes Rissler",356,2.8,55,47,21,45,26,37,8,19,0,12,NA,35,270,2.05283576940035
"Lamb","Valdimar Jóhannsson",2021,106,"Mother. Nature.","An Icelandic couple live with their herd of sheep on a beautiful but remote farm. When they discover a mysterious newborn on their land, they decide to keep it and raise it as their own. This unexpected development and the prospects of a new family brings them much joy before ultimately destroying them.","Drama---Fantasy---Horror","Yes","Unknown","Yes","No","Yes","Noomi Rapace---Hilmir Snær Guðnason---Björn Hlynur Haraldsson---Ingvar E. Sigurðsson---Ester Bibi---Sigurður Elvar Viðarson---Theodór Ingi Ólafsson---Arnþruður Dögg Sigurðardóttir---Gunnar Þor Karlsson---Lára Björk Hall",251132,3.1,2159,5005,5202,18771,22945,55241,41177,32487,5963,6973,388,48378,195923,1.92331860112051
"Samurai Wolf II","Hideo Gosha",1967,72,"","Kiba Okaminosuke finds himself entangled with a group of prisoners being transported to their executions, one of whom oddly looks exactly like his dead father. There are crooked gold miners, a beautiful girl who is unfortunately a complete lunatic and a dojo master who is obsessed with killing Kiba just to prove that his school’s sword style is the best.","Adventure---Action---Drama","No","No","No","Morality and corruption","No","Isao Natsuyagi---Kō Nishimura---Ichirō Nakatani---Yūko Kusunoki---Rumiko Fuji---Chiyo Aoi---Satoshi Amazu---Yoshirō Aoki---Junkichi Orimoto---Kyōichi Satō---Akira Shioji---Ryōhei Uchida---Kenji Ushio---Auto Yokoyama---Bin Amatsu---Kazutarō Kuni---Shinnosuke Ogata---Daisuke Awaji---Yoshihiro Igarashi---Hajime Nagoya---Masaharu Arikawa---Hiroshi Hatano---Kunio Hikita---Kôtarô Kawanami---Hideo Fujimoto---Kunijirō Yanagi---Seizō Fukumoto",1119,3.5,0,0,3,20,36,206,332,219,40,27,NA,292,883,1.53551778616577
"Halloween","John Carpenter",1978,91,"The Night He Came Home!","Fifteen years after murdering his sister on Halloween Night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.","Thriller---Horror","Yes","No","Yes","No","No","Donald Pleasence---Jamie Lee Curtis---Nancy Kyes---P. J. Soles---Charles Cyphers---Kyle Richards---Brian Andrews---John Michael Graham---Nancy Stephens---Arthur Malet---Mickey Yablans---Brent Le Page---Adam Hollander---Robert Phalen---Tony Moran---Will Sandin---Sandy Johnson---David Kyle---Peter Griffith---Nick Castle---Barry Bernardi---Joseph Cornelius---George O'Hanlon, Jr.---Darla Rae---John Carpenter---Tommy Lee Wallace",1351002,3.8,2616,7718,6421,30470,33713,136466,135686,250864,85666,184168,22000,399080,873788,1.83122367307199
"Tom and Jerry: Willy Wonka and the Chocolate Factory","Spike Brandt",2017,79,"You’ve got a golden ticket.","The classic Roald Dahl tale gets a modern twist when Tom and Jerry enter the amazing world of Willy Wonka’s Chocolate Factory.","Family---Animation---Comedy","No","No","Yes","No","No","JP Karliak---Jess Harnell---Lincoln Melcher---Mick Wingert---Lori Alan---Jeff Bergman---Spike Brandt---Rachel Butera---Kate Higgins---Dallas Lovato---Emily O'Brien---Sean Schemmel---Kath Soucie---Jim Ward---Audrey Wasilewski---Lauren Weisman",6024,2.3,387,668,422,618,374,576,213,214,31,190,8,557,3693,2.13680775855383
"Satanik","Piero Vivarelli",1968,80,"","A youth potion transforms an old crone into a ravishing beauty. Unfortunately, her new-found gorgeousness forces the heroine to form a pact with the Devil.","Thriller---Science Fiction---Crime","Yes","No","Yes","No","No","Magda Konopka---Julio Peña---Umberto Raho---Luigi Montini---Armando Calvo---Mimma Ippoliti---Isarco Ravaioli---Nerio Bernardi---Antonio Pica---Piero Vivarelli---Giancarlo Prete---Joe Atlanta---Gaetano Quartararo---Mirella Pamphili---Gustavo Simeone---Pedro Fenollar---Luis de Tejada",653,3,1,26,38,109,83,128,52,16,1,9,NA,111,463,1.83595499886364
"Valentine in the Vineyard","Terry Ingram",2019,84,"","As partners in life and professional winemaking, Frankie Baldwin and Nate DeLuca have different personality types and styles. They’ve just gotten engaged when Frankie’s cousin Lexi and Nate’s brother Marco spring the news that they are getting married – and on Valentine’s Day. Agreeing to keep their plans a secret, Frankie and Nate offer to host Lexi and Marco’s big day.","Romance---TV Movie","Yes","No","Yes","No","No","Rachael Leigh Cook---Tegan Moss---Stephanie Bennett---Brendan Penny---Laura Soltis---Kendall Cross---Teryl Rothery---Marcus Rosner---Michael Kopsa---Madison Smith---Elfina Luk---Kwesi Ameyaw---Hayley Gray",571,3,8,24,20,48,40,88,24,30,4,6,NA,56,292,1.99590831003146
"My Super Psycho Sweet 16","Jacob Gentry",2009,84,"A party to die for.","A spoiled teen’s birthday bash turns killer after she convinced her parents to re-open a roller skating rink where a series of brutal murders took place and the killer comes back to wreak havoc during her party.","Drama---TV Movie---Comedy---Horror","Yes","Unknown","Yes","No","No","Lauren McKnight---Julianna Guill---Chris Zylka---Matt Angel---Alex Van---Maia Osman---Joey Nappo---Leandra Terrazzano---Ric Reitz---Susan Griffiths---Chad McKnight---Damien C. Haas---Shannon Eubanks---Amaris Dupree---Justin Welborn---Sharon Omi",2772,3,46,72,57,184,214,444,252,247,32,135,8,532,1683,2.0473140423265
"Wassup Rockers","Larry Clark",2005,111,"From South Central to Beverly Hills","Instead of adhering to the norms of their South Central neighborhood, a group of skater boys opt to bus into Hollywood and Beverly Hills, where they attract local rich girls - and plenty of trouble with the police, jealous boyfriends, and nervous parents.","","No","Unknown","No","Racial tension and social exclusion","No","Jonathan Velasquez---Francisco Pedrasa---Milton Velasquez---Usvaldo Panameno---Eddie Velasquez---Luis Rojas-Salgado---Carlos Ramirez---Iris Zelaya---Ashley Maldonado---Laura Cellner---Jessica Steinbaum---Chris Neville---Jeremy Scott---David Livingston---Joe Myles---Janice Dickinson---James Martinez---Alex Gonzalez---Zumi Rosow---Christian Redd",5634,3.2,69,106,122,334,419,950,572,530,103,233,39,1121,3438,2.01675870696543
"Buzz Lightyear of Star Command: The Adventure Begins","Tad Stones",2000,70,"Never fear, Buzz is here…","Buzz Lightyear must battle Emperor Zurg with the help of three hopefuls who insist on being his partners.","Comedy---Science Fiction---Adventure---Family---Animation","No","No","Unknown","No","No","Tim Allen---Nicole Sullivan---Stephen Furst---Larry Miller---Adam Carolla---Patrick Warburton---Wayne Knight---Diedrich Bader---Kevin Michael Richardson---Charles Kimbrough---Cindy Warden---Frank Welker---Sean Hayes---Jennifer Bailey---Jim Hanks---Wallace Shawn---Andrew Stanton---R. Lee Ermey---Joe Ranft---Jeff Pidgeon",36083,3.2,84,282,336,1511,2046,5381,2560,2028,299,859,27,5237,15386,1.85205714753317
"The Constant Gardener","Fernando Meirelles",2005,129,"Love. At any cost.","Justin Quayle is a low-level British diplomat who has always gone about his work very quietly, not causing any problems. But after his radical wife Tessa is killed he becomes determined to find out why, thrusting himself into the middle of a very dangerous conspiracy.","Thriller---Mystery---Drama","No","No","Yes","Pharmaceutical corruption and human rights","No","Ralph Fiennes---Rachel Weisz---Danny Huston---Bill Nighy---Pete Postlethwaite---Richard McCabe---Donald Sumpter---Juliet Aubrey---Hubert Koundé---Archie Panjabi---Gerard McSorley---Sidede Onyulo---Anneke Kim Sarnau---Daniele Harford---Packson Ngugi---Damaris Itenyo Agweyu---Bernard Otieno Oduor---Keith Pearson---John Sibi-Okumu---Nick Reding---Jacqueline Maribe---Donald Apiyo---Samuel Otage---Mumbi Kaigwa---John Moller---Andre Leenheer---Lydia M. Manyasi---Steenie Njoroge---Stuart Wheeler---Chris Payne---Nyajima Jial---Brigid M. Kakenyi---Katherine Damaris---Christopher Okinda---Ainea Ojiambo---Peter King Nzioki---Ng'ang'a Kirumburu---Ben Parker---John Keogh---Jeffrey Caine---Rupert Simonian---Teresa Harder---Thomas Chemnitz---Joe Christopher Rhode---Edgar Nicholas Rhode---Eva Plackner---Claire Simpson---Chris Lightburn-Jones---Ann Achan---Dang Wuor Diew---Ben Gardiner",83333,3.6,143,394,459,2073,3242,11106,13411,13502,3086,2511,133,11753,49927,1.77127291561472
"Moondance Alexander","Michael Damian",2007,94,"Sometimes Being Different Is The Best Way To Fit In.","Curiously named teen Moondance Alexander lives with her eccentric mother, and is faced with another uneventful summer until she discovers a lost pinto pony named Checkers. Although Moondance returns the horse to his rightful owner, the gruff and mysterious Dante Longpre, she is convinced that Checkers is a champion jumper in disguise and is determined to help him realize his full potential.","Drama---Family","Yes","No","Yes","Perseverance, friendship, dealing with loss, individuality","No","Kay Panabaker---Don Johnson---Lori Loughlin---James Best---Sasha Cohen---Joe Norman Shaw---Whitney Sloan---Julia Maxwell---Mimi Gianopulos",760,3.2,8,18,14,45,38,110,24,38,10,33,5,81,338,2.02096861917265
"Warlock","Edward Dmytryk",1959,122,"Wherever you’ve been … Whatever you’ve seen … You’ve never run into anything like Warlock.","A band of murderous cowboys has imposed a reign of terror on the town of Warlock. With the sheriff humiliatingly run out of town, the residents hire the services of Clay Blaisedell as de facto town marshal. He arrives along with his friend, Tom Morgan, and sets about restoring law and order on his own terms whilst also overseeing the establishment of a gambling house and saloon.","","No","No","Yes","Law and order in the Old West","No","Richard Widmark---Henry Fonda---Anthony Quinn---Dorothy Malone---Dolores Michaels---Wallace Ford---Tom Drake---Richard Arlen---DeForest Kelley---Regis Toomey---Vaughn Taylor---Don Beddoe---Whit Bissell---Bartlett Robinson---Joe Turkel---Robert Adler---Joel Ashley---Don 'Red' Barry---June Blair---Rudy Bowman---Wally Campo---Harry Carter---Noble 'Kid' Chissell---Paul Comi---Walter Coy---Sheryl Deauville---L.Q. Jones---Frank Gorshin---Gary Lockwood---Robert Osterloh---Sol Gorss---Dick Cherney",4246,3.6,7,14,14,94,194,680,899,778,192,133,5,851,3005,1.7102909166187
"Swept Away","Guy Ritchie",2002,89,"Paradise makes strange bedfellows.","Stranded and alone on a desert island during a cruise, a spoiled rich woman and a deckhand fall in love and make a date to reunite after their rescue.","Comedy---Romance","Yes","No","Yes","Class disparity","No","Madonna---Adriano Giannini---Bruce Greenwood---Jeanne Tripplehorn---Elizabeth Banks---Michael Beattie---David Thornton---Yorgo Voyagis---Ricardo Perna---George Antoni---Beatrice Luzzi---Lorenzo Ciompi---Patrizio Rispo---Francis Pardeilhan---Rosa Pianeta---Andrea Ragatzu---Anna Cachia",10475,1.7,2101,1861,866,944,438,389,142,124,20,82,6,459,6967,1.79930230503204
"28 Hotel Rooms","Matt Ross",2012,82,"","While traveling for work in a city far from their homes, a novelist and a corporate accountant find themselves in bed together. Although she’s married, and he’s seeing someone, their intense attraction turns a one-night stand into an unexpected relationship and a respite from the obligations of daily life. Through a series of moments – some profound, some silly, some intensely intimate – we see a portrait of an evolving relationship that could become the most significant one of their lives. ×","Drama---Romance","Yes","No","Yes","Infidelity/Adultery","Yes","Chris Messina---Marin Ireland---Robert Deamer---Anne H. Wilson---Yaitza Rivera---Paul Day---Marine Buton---Matthew L. Oliva---Brett Collier---Justin Stevenson---Brandon Dexter---Courtney Krings---Jomar Gomez",2359,3,36,61,66,206,226,349,280,164,30,52,5,350,1470,2.02505136698759
"Honeyland","Ljubomir Stefanov",2019,89,"If one breaks the rule, everyone pays the price.","When nomadic beekeepers break Honeyland’s basic rule (take half of the honey, but leave half to the bees), the last female beehunter in Europe must save the bees and restore natural balance.","","Yes","Unknown","No","Environmental sustainability, human-nature balance","No","Hatidzhe Muratova---Nazife Muratova---Hussein Sam---Ljutvie Sam",46131,4,39,89,134,473,852,3452,5447,11545,5051,5914,262,12400,32996,1.69793340449065
"Chandrolsavam","Ranjith",2005,153,"","You can’t always turn back time. Circumstances force Sreehari (Mohanlal) to leave his village. He returns after several years as a successful Paris-based musician. While he tries to catch up on the time he has lost away from his village, he finds that things have changed - his former sweetheart is now married to someone else.","","No","No","No","No","No","Mohanlal---Meena---Ranjith---Sujatha---Cochin Haneefa---Jagadish---Murali Menon---Saikumar---Spadikam George---Khushboo---Samvrutha Sunil---Jayakrishnan---Augustine---Maniyanpilla Raju---Nilambur Ayisha---V K Sreeraman---Bheeman Raghu---V Dakshinamoorthy---Zeenath---Abu Salim---Jayakrishnan",1594,3.3,13,15,16,75,94,222,138,112,14,34,8,271,733,1.91245517851431
"The Bulldog Breed","Robert Asher",1960,97,"From The Army’s Funniest Private…To The Navy’s Most Riotous Seaman!","Norman Puckle, a well-meaning but clumsy grocer’s assistant, can’t seem to do anything right. After being rejected by Marlene, the love of his life, he attempts suicide, but can’t even do that. He is saved from jumping off a cliff at ‘Lover’s Leap’ by a Royal Navy petty officer. He persuades Puckle to join the Royal Navy, where he’ll meet ‘lots of girls’. Life in the Navy proves not to be as rosy as it’s been described, and Puckle fails at every task during basic training. But despite this, he’s regarded by the Admiral in charge of a rocket project to be a ‘typical average British sailor’, and chosen to be the first man to fly into outer space in an experimental rocket. ×","","No","No","Yes","No","No","Norman Wisdom---Ian Hunter---David Lodge---John Le Mesurier---Terence Alexander---Michael Caine---Oliver Reed---Robert Urquhart---Edward Chapman---Liz Fraser---Penny Morrell---Claire Gordon---Julie Shearing---Sheila Hancock---Rosamund Lesley---Frank Williams---Johnny Briggs---John Arnatt---Keith Peacock---Eddie Byrne---Peter Jones---Sydney Tafler---Brian Oulton---Harold Goodwin---Joe Robinson---Bryan Pringle",532,3.2,2,11,12,36,40,98,39,36,3,18,NA,75,295,1.92196244274774
"Grigris","Mahamat-Saleh Haroun",2013,101,"","Souleymane, 25, dreams of being a dancer in spite of having a paralyzed leg. At nightclubs, he transforms into the beloved dancer Grigris, impressing people with his moves. However, when his stepfather falls seriously ill, Souleymane desperately needs money and decides to work for petrol smugglers.","Crime---Drama","No","Unknown","No","Economic hardship and survival in African society","No","Souleymane Démé---Anaïs Monory---Cyril Gueï---Marius Yelolo---Hadje Fatime N'Goua---Abakar M'Baïro---Youssouf Djaoro---Rémadji Adèle Ngaradoumbaye---Emmanuel M'Baide Rotoubam---Achouackh Abakar---Abdel Salam Mahamat---Ahidjo Mahamat Moussa---Ahmed Taigue---Xavier Girou---Lian Xehua---Tom Haroun---Cyrus Nersy",1180,3.4,1,4,13,68,84,252,201,143,24,18,NA,196,808,1.74979493424301
"Mad Dog","Vincenzo Alfieri",2021,101,"","Two young people go missing after a rave party in the woods. Meda and Rio, a man defeated by life and an uncompromising captain, are the two cops leading the investigation. It’s an old nightmare coming back to haunt the people from the small village near the forest but, this time, the monster has chosen the wrong person.","Drama---Thriller","No","Unknown","Yes","Kidnapping / Disappearance","No","Edoardo Pesce---Massimo Popolizio---Chiara Bassermann---Roberta Caronia---Luka Zunic---Nicola Rignanese",586,3.1,5,27,36,51,93,147,86,21,2,7,NA,74,475,1.86077496994648
